Title,Description,Coding,2nd Coding,3rd coding,polarity
Travis Kelce Ready to Don the Role of a Singer After Attending Taylor Swift Eras Tour Concert,"Travis Kelce as an artist? Sounds like a plan. The Kansas City Chiefs TE is looking forward to a new project after getting back from Buenos Aires, Argentina. Kelce went to Argentina to attend Taylor Swift’s concert during the weekend. Both went out to dinner together with Swift’s father a day before the concert. The next…The post Travis Kelce Ready to Don the Role of a Singer After Attending Taylor Swift Eras Tour Concert appeared first on EssentiallySports.",Travis Kelce,1,1,neutral
Taylor Swift honored on Christ the Redeemer statue: 'Welcome to Brazil',"Taylor Swift was honored with a projection on Brazil's Christ the Redeemer statue of a shirt inspired by the superstar's ""Junior Jewels"" shirt from her ""You Belong With Me"" music video.",Event/Party,3,6,positive
‘Kelce’ becomes top trending dog name in 2023 amid NFLer’s romance with Taylor Swift,"""Whether the name is silly or serious, most pet parents are influenced by names that remind them of their favorite things or trending pop culture moments.""",Travis Kelce,1,1,positive
Will Taylor Swift Attend Chiefs Game Against Eagles At Arrowhead? All The Latest Developments You Need To Know,"Touchdowns, tours, and Taylor–it’s a wild ride in the Kelce-Swift playbook! Travis Kelce hit the stratosphere after getting a lyrical love tap from the one and only ‘Lover,’ Taylor Swift. Riding high on the wave, the Kansas City Chiefs TE maestro took off to Buenos Aires, living it up during his bye week post a…The post Will Taylor Swift Attend Chiefs Game Against Eagles At Arrowhead? All The Latest Developments You Need To Know appeared first on EssentiallySports.",NFL Game,2,2,neutral
"NFL Week 11 preview: Chiefs-Eagles headline schedule as eyes turn back to Travis Kelce, Taylor Swift","NFL fans and the pop culture world will likely be tuning in Monday night for the Kansas City Chiefs and Philadelphia Eagles, but don't count out Sunday's slate.",NFL Game,2,2,neutral
Taylor Swift's beau Travis Kelce details their courtship; Sami Sheen reveals she had a boob job,"The Fox News Entertainment newsletter brings you the latest Hollywood headlines, celebrity interviews and stories from Los Angeles and beyond.",Travis Kelce,1,1,neutral
Patrick Mahomes Weighs in on Media Coverage of Taylor Swift-Travis Kelce Romance,The extra attention doesn’t seem to be impacting him at all.,Travis Kelce,1,1,neutral
Travis Kelce’s Thoughtful Description of Taylor Swift’s ‘Aura’ Had Fans Singing His Praises,"""When she acts like that I better not be the one acting all strange.”",Travis Kelce,1,1,positive
Reports – Travis Kelce & Taylor Swift’s Parents Cancel Their Meeting at Chiefs vs Eagles Big Game,"The fans have come to cherish Travis Kelce and Taylor Swift’s beautiful relationship. Following 4 consecutive home game appearances, Taylor Swift is set to elude the Swifties and the Kansas City Chiefs for the first time in a while. After the latest developments from Rio, she was already half-expected to skip the game against the…The post Reports – Travis Kelce & Taylor Swift’s Parents Cancel Their Meeting at Chiefs vs Eagles Big Game appeared first on EssentiallySports.",Travis Kelce,1,1,neutral
"“Wrong Message to His Teammates”: Skip Bayless Sees Red Over Travis Kelce’s Retirement Talk, Blames It on Taylor Swift Influence","Travis Kelce and Taylor Swift are the favorite couple in the NFL. The duo is almost inseparable and is now dedicating time to each other’s shows and games. While Swift’s appearances on the Chiefs‘ games have been regular, Kelce was also spotted on her recent tours. The love in the air is growing stronger than…The post “Wrong Message to His Teammates”: Skip Bayless Sees Red Over Travis Kelce’s Retirement Talk, Blames It on Taylor Swift Influence appeared first on EssentiallySports.",Travis Kelce,1,1,negative
Ex-WWE Star Thanks Delta and Fellow Taylor Swift Fan for Last-Minute Flight Save,Sometimes all it takes is to share a fandom to make connections. Fans of various types of media often tend to bond over the one common thing that they like. And something similar was experienced by an ex-WWE star quite recently. CJ Perry decided to share how her love for Taylor Swift helped her as…The post Ex-WWE Star Thanks Delta and Fellow Taylor Swift Fan for Last-Minute Flight Save appeared first on EssentiallySports.,Collaboration,3,3,neutral
“The Swifties Came Out”: Travis Kelce & Jason Kelce Credits Taylor Swift Effect For Taking Them To New Heights,"Travis Kelce might have not been the star of the show at the Kansas City Chiefs‘ epic showdown with the NFC Mammoths Philadelphia Eagles but looks like the pro footballer is rising to new heights. Just last year, Travis and Jason Kelce launched their podcast ‘New Heights’. What started as a simple podcast with two…The post “The Swifties Came Out”: Travis Kelce & Jason Kelce Credits Taylor Swift Effect For Taking Them To New Heights appeared first on EssentiallySports.",Travis Kelce,1,1,positive
Taylor Swift Brazil Concert Triggers Police Probe After Fan Dies at Stadium,Police in Brazil have reportedly opened a probe into the organizers of last Friday’s oppressively hot Taylor Swift concert that left one fan dead and the pop star gasping for air. A rep for Rio de Janiero’s Civil Police Department said they…,Controversy,5,5,negative
"She’s in Brazil, He’s in Kansas City – Taylor Swift & Travis Kelce Have a Ton Set of Plans for Holidays","More than a thousand miles stand between football’s hottest couple – Travis Kelce and Taylor Swift. And even if they could traverse the physical barrier, their own callings will keep them separated till December. After she skipped Thanksgiving dinner at the Kelce house, and the all-important Philadelphia Eagles vs. Kansas City Chiefs Super Bowl rematch,…",Travis Kelce,1,1,neutral
Taylor Swift Seemingly Struggles to Breathe During Brazil Concert,"Taylor Swift was seemingly gasping for air during her sweltering hot concert in Brazil, freaking out some of her fans. The pop superstar performed for hours in nearly 100-degree heat Friday night at Estadio Nilton Santos stadium in Rio de Janeiro…",Concert/Song,5,5,neutral
Travis Kelce shakes it off to Taylor Swift song at World Series Game 1,"Kelce was celebrating the release of ""1989 (Taylor's Version)"" in Globe Life Field.",Travis Kelce,1,1,positive
"Broncos vs Chiefs: After the Party at SOFI, Will Empower Field Witness Brittany Mahomes – Taylor Swift Suite Celebrations?","Taylor Swift is turning up at all the Kansas City Chiefs games. Recently, the Chiefs went against the Los Angeles Chargers. And they surely didn’t disappoint their fans. The team successfully claimed their 31-17 victory against the Chargers. This was the 6th victory for the Chiefs this season with a singular loss so far. However,…The post Broncos vs Chiefs: After the Party at SOFI, Will Empower Field Witness Brittany Mahomes – Taylor Swift Suite Celebrations? appeared first on EssentiallySports.",NFL Game,2,2,neutral
Queen of Slopes Mikaela Shiffrin Gets Taylor Swift Themed Surprise From Fans Hours Before Kickstarting Audi FIS Alpine Skiing World Cup,"The 2023-24 Alpine Skiing World Cup is here. One of the biggest skiing showdowns is going to commence on 28th Oct 2023 in Solden, Austria. Starting with women’s giant slalom races on Saturday and men’s on Sunday, the world awaits great skiers to clinch historic wins this season. One of them is alpine skiing queen,…The post Queen of Slopes Mikaela Shiffrin Gets Taylor Swift Themed Surprise From Fans Hours Before Kickstarting Audi FIS Alpine Skiing World Cup appeared first on EssentiallySports.",Celebrity interactions,3,3,neutral
2Chainz has his say on Chiefs credentials and “Taylor Swift’s boyfriend” Travis Kelce,2Chainz has his say on Chiefs credentials and “Taylor Swift’s boyfriend” Travis Kelce,Dating life,1,1,neutral
Taylor Swift Gifts Brittany Mahomes a Copy of Her Latest Album Ahead of Potential Reunion,"The recent Kansas City Chiefs‘ games have been much more than on-field gameplay. The in-stadium attendance of Taylor Swift has definitely been attention-grabbing, although her interaction with Donna Kelce and Brittany Mahomes has turned more heads than ever. On the one hand, Donna and Taylor have cheered together for the Chiefs’ tight end. On the…The post Taylor Swift Gifts Brittany Mahomes a Copy of Her Latest Album Ahead of Potential Reunion appeared first on EssentiallySports.",Friends,4,4,positive
“Girl Seems Jealous”: Fans Slam Travis Kelce’s Publicist Pia Malihi After She Shades Taylor Swift With ‘Clown’ Emoji,"Travis Kelce’s publicist, Pia Malihi, featured in a friend’s birthday post with Taylor Swift, sparking controversy among internet NFL fans. However, allegedly she added a controversial ‘clown’ emoji over the pop singer’s face, which many people interpreted as an indirect criticism of the singer. Since then, Pia has received a lot of backlash for shading…The post “Girl Seems Jealous”: Fans Slam Travis Kelce’s Publicist Pia Malihi After She Shades Taylor Swift With ‘Clown’ Emoji appeared first on EssentiallySports.",Dating life,1,1,positive
Travis Kelce Decides to Spend Halloween Dinner Party With Rumored Girlfriend Taylor Swift,"Taylor Swift can expect a visit from Travis Kelce this Halloween. The Chiefs tight end is rumored to be planning the holiday with the pop singer. The news has come out, and it’s an exciting one for sure. While some are curious about their possible relationship, some wish the duo could hand out a few…The post Travis Kelce Decides to Spend Halloween Dinner Party With Rumored Girlfriend Taylor Swift appeared first on EssentiallySports.",Dating life,1,1,positive
"Friend Brittany’s Night Out With Taylor Swift Gets Two-Worded Response From Jackson Mahomes, but Fans Aren’t Happy","Taylor Swift and Brittany Mahomes are now officially the most loved new gal pals in America. Reigning MVPs Patrick Mahomes and Travis Kelce are taking the Chiefs to new heights with their record-breaking performances. Their partners in crime are always there to support them on and off the field. Mrs. Mahomes and Swift’s growing friendship…The post Friend Brittany’s Night Out With Taylor Swift Gets Two-Worded Response From Jackson Mahomes, but Fans Aren’t Happy appeared first on EssentiallySports.",Friends,4,4,positive
Travis Kelce’s Special Gifts to Taylor Swift Hint a Possibility Toward Their Relationship Turning Into the Next Level,"Travis Kelce must have heard Taylor Swift’s Mastermind track. That’s probably why the pop star accepted the athletes’ invitation. Swift has been seen at the Kansas City Chiefs games several times, and they have reportedly been spotted attending events and parties together. Furthermore, Tay-Tay has swiftly slid into the Chiefs’ squad, strengthening her bond with the…The post Travis Kelce’s Special Gifts to Taylor Swift Hint a Possibility Toward Their Relationship Turning Into the Next Level appeared first on EssentiallySports.",Dating life,1,1,positive
Taylor Swift Dines With Phoebe Bridgers as Travis Kelce Preps for Game,"Taylor Swift went out for Friday date night in NYC, but it wasn't with her hunky NFL beau Travis Kelce ... linking up instead with fellow musician Phoebe Bridgers. Taylor arrived at the famed Minetta Tavern in Greenwich Village to grab some grub…",Friends,4,4,neutral
Taylor Swift vs Simone Biles – How Many Houses Do They Both Own?,"The NFL fans’ latest debate is Taylor Swift vs. Simone Biles. However, many also believe that it would be completely wrong to compare the two, as both are sensational stars in their respective fields. Furthermore, the commonality between the two is that they have known figures in the NFL. The American gymnast is married to…The post Taylor Swift vs Simone Biles – How Many Houses Do They Both Own? appeared first on EssentiallySports.",Financials,6,6,positive
Ticketmaster parent Live Nation posts blowout earnings as Taylor Swift and Beyonce tours dominate,"Live Nation's revenue surged on high prices, pent-up demand and blockbuster tours from superstars Taylor Swift and Beyonce.",Tour,6,6,positive
Will Brittany Mahomes’ Miss Today’s Chiefs Clash After Dining With Taylor Swift?,"Another highly anticipated match is already here. This Sunday, the Kansas City Chiefs will be facing the Miami Dolphins. Both teams stand proudly with their stunning record. The Chiefs are coming in with 6 wins and just 2 defeats and also the Dolphins are coming in with the same record. The stats make it even…The post Will Brittany Mahomes’ Miss Today’s Chiefs Clash After Dining With Taylor Swift? appeared first on EssentiallySports.",NFL,2,2,neutral
Taylor Swift Reacts to Travis Kelce Feat; Will She Join Kelce Brothers Big Clash?,"Love seems to be in the air. Travis Kelce and Taylor Swift are the two most talked-about this NFL season. Probably, that’s why Kelce decided to buy a $6-million mansion in a gated community in KC to avoid any further spotlight and physical intervention on his personal space. However, who could stop the fans’ virtual…The post Taylor Swift Reacts to Travis Kelce Feat; Will She Join Kelce Brothers Big Clash? appeared first on EssentiallySports.",Dating life,1,1,positive
Taylor Swift's 'Eras' Movie Still Playing in Israel Despite Speculation,Taylor Swift's concert film is still playing in Israel -- this despite some who thought she'd yanked the flick to make a political statement ... which we've learned ain't the case at all. Here's the deal ... the 'Eras' movie just started hitting…,Movie,5,5,neutral
"After Missing Chiefs’ Frankfurt Clash, Taylor Swift & Brittany Mahomes Traveled Together","The girls had a day out. There’s no doubt that the alleged girlfriend of Travis Kelce, Taylor Swift, and Patrick Mahomes‘ wife Brittany Mahomes have strengthened their friendship since they first met at the Kansas City Chiefs’ post-party. From then onwards, these two independent women have been seen cheering together for the Chiefs, sharing a…The post After Missing Chiefs’ Frankfurt Clash, Taylor Swift & Brittany Mahomes Traveled Together appeared first on EssentiallySports.",Friends,4,4,positive
"Peyton Manning’s Sell-Out Jibe on Taylor Swift Creates Impact, but Kansas City Chiefs Might Prove Him Wrong","The Kansas City Chiefs are the reigning champions and there’s no denying that. Sure, this season they’re slightly off trajectory so far, yet they’ve managed to up a beautiful 7-2 score by week 10. Off the gridiron too, the Chiefs are quite the show stoppers this season, with Patrick Mahomes and Travis Kelce stepping on…The post Peyton Manning’s Sell-Out Jibe on Taylor Swift Creates Impact, but Kansas City Chiefs Might Prove Him Wrong appeared first on EssentiallySports.",NFL,2,2,neutral
"ESPN's Stephen A Smith chimes in on Travis Kelce's 'Sexiest Athlete' list rank: ""He don't need Taylor Swift""","ESPN's Stephen A Smith chimes in on Travis Kelce's 'Sexiest Athlete' list rank: ""He don't need Taylor Swift""",Dating life,1,1,negative
Travis Kelce Arrives In Argentina Ahead of Taylor Swift Concert,Travis Kelce has touched down in Argentina -- the NFL superstar made his way to Buenos Aires in time to catch Taylor Swift's concert in just a few hours. There were rumblings TK -- who's currently enjoying his off week from his football duties --…,Dating life,1,1,neutral
Taylor Swift Arrives for Eras Tour Without Travis Kelce; Is Travis Attending the Argentina Show Tonight?,"Looks like the Swifties have a little problem before the start of the Eras Tour in Buenos Aires. Travis Kelce arrived at the city on Friday midnight, making the trip alone. Although the duo was seen moving through a restaurant holding hands on the day, the sightings have not been duplicated since and that seems…The post Taylor Swift Arrives for Eras Tour Without Travis Kelce; Is Travis Attending the Argentina Show Tonight? appeared first on EssentiallySports.",Dating life,1,1,neutral
Taylor Swift and Travis Kelce Make Out After Argentina Concert,"Don't cry for Taylor Swift in Argentina ... she had an amazing show Saturday night, after which she passionately made out with her man. We've seen Trace Kelce and Taylor hold hands, wrap their arms around each other, etc, but this is the first big…",Dating life,1,1,positive
Taylor Swift – Travis Kelce Reunion Highly Unlikely as Kansas City Welcomes Swifties & Scott Swift to Arrowhead,"For the first time in three months, someone other than Taylor Swift and Travis Kelce is looking to make headlines at a Chiefs game. It’s the parent gang, Ms. Kelce, and Mr. Swift. While the singer is busy with her Eras Tour’s Brazil phase, Travis Kelce will not meet her date this time. But the…The post Taylor Swift – Travis Kelce Reunion Highly Unlikely as Kansas City Welcomes Swifties & Scott Swift to Arrowhead appeared first on EssentiallySports.",Dating life,1,1,neutral
WATCH – Travis Kelce Sings & Dances With the Crowd as Taylor Swift Rocks Eras Tour Argentina,"The Eras Tour has taken over Buenos Aires over the weekend. With Taylor Swift’s magnanimous performances encapsulating the capital of Argentina, Travis kelce’s appearance is also adding to the charm. Following the will he, won’t he conundrum about joining T-Swift in Argentina, his appearance has rejuvenated the Swifties and possibly his rumored girlfriend as well.…The post WATCH – Travis Kelce Sings & Dances With the Crowd as Taylor Swift Rocks Eras Tour Argentina appeared first on EssentiallySports.",Dating life,1,1,positive
"Taylor Swift 'Karma' lyrics change, explained: Travis Kelce gets first song with 'Karma is the guy on the Chiefs' shoutout","Taylor Swift sent the Argentina crowd into a frenzy Saturday night when referencing her new beau, Travis Kelce.",Dating life,1,1,neutral
